,0
0,Alaska
1,Arizona
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Illinois
8,Indiana
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Nebraska
20,Nevada
21,New Hampshire
22,New Jersey
23,New Mexico
24,New York
25,North Carolina
26,North Dakota
27,Ohio
28,Oklahoma
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,South Dakota
33,Tennessee
34,Utah
35,Vermont
36,Virginia
37,Washington
38,West Virginia
39,Wisconsin
